title,year,budget_raw,box_office_raw,release_date,section,image
We Can't Have Everything,1918,,"$207,890[1]",,Highest-grossing,images\1918_We_Can't_Have_Everything.jpg
Till I Come Back to You,1918,,"$183,834[1]",,Highest-grossing,images\1918_Till_I_Come_Back_to_You.jpg
Male and Female,1919,"$ 168,619.28 [ 1 ]","$1,256,267[1]",,Highest-grossing,images\1919_Male_and_Female.jpg
Daddy-Long-Legs,1919,,"$1,250,000[2]",,Highest-grossing,images\1919_Daddy-Long-Legs.jpg
The Miracle Man,1919,"$120,000","$1,000,000[2]",,Highest-grossing,images\1919_The_Miracle_Man.jpg
Broken Blossoms,1919,"$88,000 [ 1 ] or $115,000 [ 2 ]","$600,000[3]",,Highest-grossing,images\1919_Broken_Blossoms.jpg
Don't Change Your Husband,1919,"$ 73,922.14 [ 1 ]","$292,394[1]",,Highest-grossing,images\1919_Don't_Change_Your_Husband.jpg
"For Better, for Worse",1919,"$ 1,260.93","$256,072[1]",,Highest-grossing,"images\1919_For_Better,_for_Worse.jpg"
Way Down East,1920,"$800,000 [ 1 ] or $635,000 [ 2 ]","$2,000,000[1]",,Highest-grossing,images\1920_Way_Down_East.jpg
Why Change Your Wife?,1920,"$129,349.31 [ 2 ]","$1,046,286[2]",,Highest-grossing,images\1920_Why_Change_Your_Wife?.jpg
Passion(Madame Dubarry),1920,,"$1,000,000[1]",,Highest-grossing,images\1920_Passion(Madame_Dubarry).jpg
Something to Think About,1920,"$169,330 [ 1 ]","$915,848[2]",,Highest-grossing,images\1920_Something_to_Think_About.jpg
The Mark of Zorro,1920,"$169,187.05 [ 1 ]","$500,000[3]",,Highest-grossing,images\1920_The_Mark_of_Zorro.jpg
The Four Horsemen of the Apocalypse,1921,"$800,000 or $1 million [ 1 ]","$4,500,000[1]",,Highest-grossing,images\1921_The_Four_Horsemen_of_the_Apocalypse.jpg
The Kid,1921,"$250,000","$2,500,000[1]",,Highest-grossing,images\1921_The_Kid.jpg
The Three MusketeersThe Sheik,1921,,"$1,500,000[1]",,Highest-grossing,images\1921_The_Three_MusketeersThe_Sheik.jpg
The Affairs of Anatol,1921,"$176,508 [ 1 ]","$1,191,789[2]",,Highest-grossing,images\1921_The_Affairs_of_Anatol.jpg
Fool's Paradise,1921,,"$906,937[2]",,Highest-grossing,images\1921_Fool's_Paradise.jpg
Forbidden Fruit,1921,,"$848,121[2]",,Highest-grossing,images\1921_Forbidden_Fruit.jpg
School Days,1921,"$133,000 [ 1 ] [ 2 ]","$546,000[3]",,Highest-grossing,images\1921_School_Days.jpg
Why Girls Leave Home,1921,"$45,000 [ 2 ] [ 3 ]","$410,000[3]",,Highest-grossing,images\1921_Why_Girls_Leave_Home.jpg
Robin Hood,1922,"$930,000 [ 1 ]","$2,101,044[1]",,Highest-grossing,images\1922_Robin_Hood.jpg
Blood and Sand,1922,,"$1,250,000[2]",,Highest-grossing,images\1922_Blood_and_Sand.jpg
Manslaughter,1922,"$385,000 [ 1 ]","$1,206,014[3]",,Highest-grossing,images\1922_Manslaughter.jpg
Grandma's Boy,1922,"$94,412 [ 2 ]","$1,100,000[2]",,Highest-grossing,images\1922_Grandma's_Boy.jpg
Smilin' Through,1922,,"$1,000,000[2]",,Highest-grossing,images\1922_Smilin'_Through.jpg
Saturday Night,1922,"$ 224,635 [ 1 ]","$753,807[3]",,Highest-grossing,images\1922_Saturday_Night.jpg
Rags to Riches,1922,"$96,000 [ 1 ]","$418,000[4]",,Highest-grossing,images\1922_Rags_to_Riches.jpg
Heroes of the Street,1922,"$110,000 [ 1 ]","$366,000[4]",,Highest-grossing,images\1922_Heroes_of_the_Street.jpg
The Beautiful and Damned,1922,"$108,000 [ 2 ]","$327,000[4]",,Highest-grossing,images\1922_The_Beautiful_and_Damned.jpg
Your Best Friend,1922,"$84,000 [ 1 ] [ 2 ]","$132,000[4]",,Highest-grossing,images\1922_Your_Best_Friend.jpg
The Ten Commandments,1923,$1.5 million [ 1 ],"$4,169,798[1]",,Highest-grossing,images\1923_The_Ten_Commandments.jpg
The Covered Wagon,1923,"$782,000 or $336,000 [ 1 ]","$3,500,000[2]",,Highest-grossing,images\1923_The_Covered_Wagon.jpg
Safety Last!The Hunchback of Notre Dame,1923,"$121,000 [ 2 ]","$1,500,000[2]",,Highest-grossing,images\1923_Safety_Last!The_Hunchback_of_Notre_Dame.jpg
Scaramouche,1923,,"$1,000,000[3]",,Highest-grossing,images\1923_Scaramouche.jpg
Adam's Rib,1923,,"$881,206[1]",,Highest-grossing,images\1923_Adam's_Rib.jpg
Main Street,1923,"$270,000 [ 1 ]","$510,000[4]",,Highest-grossing,images\1923_Main_Street.jpg
The Gold Diggers,1923,"$280,000 [ 1 ]","$470,000[4]",,Highest-grossing,images\1923_The_Gold_Diggers.jpg
Tiger Rose,1923,"$436,000 [ 1 ]","$466,000[4]",,Highest-grossing,images\1923_Tiger_Rose.jpg
The Sea Hawk,1924,"$800,000 [ 1 ]","$2,000,000[1]",,Highest-grossing,images\1924_The_Sea_Hawk.jpg
Girl Shy,1924,"$400,000 (estimated) [ 1 ]","$1,550,000[1]",,Highest-grossing,images\1924_Girl_Shy.jpg
Secrets,1924,,"$1,500,000[1]",,Highest-grossing,images\1924_Secrets.jpg
The Thief of Bagdad,1924,"$1,135,654.65","$1,490,419[2]",,Highest-grossing,images\1924_The_Thief_of_Bagdad.jpg
Hot Water,1924,,"$1,350,000[1]",,Highest-grossing,images\1924_Hot_Water.jpg
Feet of Clay,1924,"$ 513,636.27 [ 1 ]","$904,383[3]",,Highest-grossing,images\1924_Feet_of_Clay.jpg
Triumph,1924,,"$678,526[3]",,Highest-grossing,images\1924_Triumph.jpg
He Who Gets Slapped,1924,"$172,000 [ 2 ]","$493,000[4]",,Highest-grossing,images\1924_He_Who_Gets_Slapped.jpg
Beau Brummel,1924,"$343,000 [ 1 ]","$453,000[5]",,Highest-grossing,images\1924_Beau_Brummel.jpg
His Hour,1924,"$197,000 [ 1 ]","$418,000[4]",,Highest-grossing,images\1924_His_Hour.jpg
The Big Parade,1925,"$382,000 [ 1 ]","$4,990,000[1]",,Highest-grossing,images\1925_The_Big_Parade.jpg
Ben-Hur: A Tale of the Christ,1925,$4 million [ 1 ] [ 2 ],"$4,359,000[1]",,Highest-grossing,images\1925_Ben-Hur:_A_Tale_of_the_Christ.jpg
The Freshman,1925,"$301,681 [ 1 ]","$2,600,000[2]",,Highest-grossing,images\1925_The_Freshman.jpg
The Gold Rush,1925,"$923,000","$2,150,000[3]",,Highest-grossing,images\1925_The_Gold_Rush.jpg
The Phantom of the Opera,1925,"$632,357. [ 1 ]","$1,550,000[4]",,Highest-grossing,images\1925_The_Phantom_of_the_Opera.jpg
"Don Q, Son of ZorroStella Dallas",1925,,"$1,500,000[5][2]",,Highest-grossing,"images\1925_Don_Q,_Son_of_ZorroStella_Dallas.jpg"
The Lost World,1925,"$700,000 [ 2 ]","$1,300,000[2]",,Highest-grossing,images\1925_The_Lost_World.jpg
East LynneLittle Annie Rooney,1925,,"$1,100,000[2][6]",,Highest-grossing,images\1925_East_LynneLittle_Annie_Rooney.jpg
The Merry Widow,1925,"$592,000 [ 1 ] [ 2 ]","$1,081,000[1]",,Highest-grossing,images\1925_The_Merry_Widow.jpg
The Eagle,1925,,"$820,000[7]",,Highest-grossing,images\1925_The_Eagle.jpg
What Price Glory?,1926,,"$2,000,000[1]",,Highest-grossing,images\1926_What_Price_Glory?.jpg
The Black Pirate,1926,"$1,300,000","$1,700,000[2]",,Highest-grossing,images\1926_The_Black_Pirate.jpg
Beau Geste,1926,"$900,000 [ 1 ]","$1,500,000[1]",,Highest-grossing,images\1926_Beau_Geste.jpg
The Volga Boatman,1926,"$479,357 [ 2 ]","$1,275,375[3]",,Highest-grossing,images\1926_The_Volga_Boatman.jpg
Don Juan,1926,"$546,000 [ 2 ]","$1,258,000[4]",,Highest-grossing,images\1926_Don_Juan.jpg
Tell It to the Marines,1926,,"$1,250,000[5]",,Highest-grossing,images\1926_Tell_It_to_the_Marines.jpg
Sparrows,1926,"$463,000 [ 1 ]","$966,878[6]",,Highest-grossing,images\1926_Sparrows.jpg
The Better 'Ole,1926,"$449,000 [ 2 ]","$955,000[4]",,Highest-grossing,images\1926_The_Better_'Ole.jpg
The Son of the Sheik,1926,,"$820,000[7]",,Highest-grossing,images\1926_The_Son_of_the_Sheik.jpg
The Sea Beast,1926,"$503,000 [ 1 ]","$814,000[4]",,Highest-grossing,images\1926_The_Sea_Beast.jpg
The King of Kings,1927,"$1,265,284 [ 2 ]","$2,641,687[1]",,Highest-grossing,images\1927_The_King_of_Kings.jpg
The Jazz Singer,1927,"$422,000 [ 1 ]","$1,974,000[2]",,Highest-grossing,images\1927_The_Jazz_Singer.jpg
7th Heaven,1927,$1.3 million [ 1 ],"$1,750,000[3]",,Highest-grossing,images\1927_7th_Heaven.jpg
The Gaucho,1927,,"$1,400,000[4]",,Highest-grossing,images\1927_The_Gaucho.jpg
The Patent Leather KidJesse James,1927,"$850,000 [ 2 ]","$1,200,000[3][5]",,Highest-grossing,images\1927_The_Patent_Leather_KidJesse_James.jpg
Wings,1927,$2 million [ 4 ],"$1,100,000[6]",,Highest-grossing,images\1927_Wings.jpg
My Best Girl,1927,"$483,103 [ 2 ]","$1,027,757[7]",,Highest-grossing,images\1927_My_Best_Girl.jpg
Love,1927,"$487,994.88 [ 2 ] [ 3 ] [ 4 ]","$946,000[8]",,Highest-grossing,images\1927_Love.jpg
The Student Prince in Old Heidelberg,1927,"$1,205,000 [ 1 ] [ 2 ]","$894,000[8]",,Highest-grossing,images\1927_The_Student_Prince_in_Old_Heidelberg.jpg
Sunrise: A Song of Two Humans,1927,,"$818,000[9]",,Highest-grossing,images\1927_Sunrise:_A_Song_of_Two_Humans.jpg
The Singing Fool,1928,"$388,000 [ 3 ] [ 4 ]","$3,821,000[1]",,Highest-grossing,images\1928_The_Singing_Fool.jpg
The Circus,1928,,"$1,820,000[2]",,Highest-grossing,images\1928_The_Circus.jpg
Street Angel,1928,,"$1,700,000[3]",,Highest-grossing,images\1928_Street_Angel.jpg
Lilac Time,1928,,"$1,675,000[4]",,Highest-grossing,images\1928_Lilac_Time.jpg
Four SonsRamona,1928,,"$1,500,000[3][5]",,Highest-grossing,images\1928_Four_SonsRamona.jpg
Noah's Ark,1928,"$1,005,000 [ 1 ]","$1,367,000[1]",,Highest-grossing,images\1928_Noah's_Ark.jpg
The Red DanceIn Old Arizona,1928,,"$1,300,000[3]",,Highest-grossing,images\1928_The_Red_DanceIn_Old_Arizona.jpg
The Terror,1928,"$163,000 [ 3 ]","$1,221,000[1]",,Highest-grossing,images\1928_The_Terror.jpg
Lights of New York,1928,"$23,000 [ 3 ]","$1,160,000[1]",,Highest-grossing,images\1928_Lights_of_New_York.jpg
My Man,1928,"$192,000 [ 3 ]","$1,099,000[1]",,Highest-grossing,images\1928_My_Man.jpg
The Broadway Melody,1929,"$379,000 [ 3 ]","$2,808,000[1]",,Highest-grossing,images\1929_The_Broadway_Melody.jpg
The Cock-Eyed World,1929,,"$2,700,000[2]",,Highest-grossing,images\1929_The_Cock-Eyed_World.jpg
Gold Diggers of Broadway,1929,"$532,000 [ 2 ]","$2,540,000[3]",,Highest-grossing,images\1929_Gold_Diggers_of_Broadway.jpg
Sunny Side Up,1929,,"$2,190,000[4]",,Highest-grossing,images\1929_Sunny_Side_Up.jpg
Rio Rita,1929,"$678,000 [ 1 ]","$1,775,000[5]",,Highest-grossing,images\1929_Rio_Rita.jpg
On with the Show!,1929,"$493,000 [ 2 ] [ 3 ]","$1,741,000[3]",,Highest-grossing,images\1929_On_with_the_Show!.jpg
Say It with Songs,1929,"$470,000 [ 2 ]","$1,715,000[3]",,Highest-grossing,images\1929_Say_It_with_Songs.jpg
Show Boat,1929,,"$1,643,000[4]",,Highest-grossing,images\1929_Show_Boat.jpg
The Desert Song,1929,"$354,000 [ 3 ]","$1,549,000[3]",,Highest-grossing,images\1929_The_Desert_Song.jpg
The Hollywood Revue of 1929,1929,"$426,000 [ 2 ] [ 3 ]","$1,527,000[1]",,Highest-grossing,images\1929_The_Hollywood_Revue_of_1929.jpg
Whoopee!,1930,$1.9 million [ 1 ],"$2,655,000[1]",,Highest-grossing,images\1930_Whoopee!.jpg
Check and Double Check,1930,"$967,000 [ 2 ]","$1,751,000[2]",,Highest-grossing,images\1930_Check_and_Double_Check.jpg
All Quiet on the Western Front,1930,$1.2 million [ 3 ],"$1,634,000[3]",,Highest-grossing,images\1930_All_Quiet_on_the_Western_Front.jpg
Hell's Angels,1930,$2.8 million [ 2 ],"$1,600,000[4]",,Highest-grossing,images\1930_Hell's_Angels.jpg
The Big House,1930,"$414,000 [ 2 ] [ 3 ]","$1,279,000[5]",,Highest-grossing,images\1930_The_Big_House.jpg
Common Clay,1930,,"$1,246,000[3]",,Highest-grossing,images\1930_Common_Clay.jpg
Min and Bill,1930,,"$1,223,000[5]",,Highest-grossing,images\1930_Min_and_Bill.jpg
Song o' My Heart,1930,,"$1,200,000[6]",,Highest-grossing,images\1930_Song_o'_My_Heart.jpg
Son of the Gods,1930,"$436,000 [ 2 ]","$1,069,000[7]",,Highest-grossing,images\1930_Son_of_the_Gods.jpg
The Dawn Patrol,1930,"$729,000 [ 2 ] [ 3 ]","$1,061,000[7]",,Highest-grossing,images\1930_The_Dawn_Patrol.jpg
Frankenstein,1931,"$262,007 [ 2 ]","$12,000,000[1]",,Highest-grossing,images\1931_Frankenstein.jpg
City Lights,1931,$1.5 million,"$2,000,000[2]",,Highest-grossing,images\1931_City_Lights.jpg
Trader Horn,1931,$1.3 million [ 1 ] [ 2 ],"$1,642,000[3]",,Highest-grossing,images\1931_Trader_Horn.jpg
Palmy Days,1931,,"$1,601,000[4]",,Highest-grossing,images\1931_Palmy_Days.jpg
The Man Who Came Back,1931,,"$1,400,000[5]",,Highest-grossing,images\1931_The_Man_Who_Came_Back.jpg
Merely Mary Ann,1931,,"$1,300,000[5]",,Highest-grossing,images\1931_Merely_Mary_Ann.jpg
ArrowsmithDr. Jekyll and Mr. Hyde,1931,,"$1,250,000[6]",,Highest-grossing,images\1931_ArrowsmithDr._Jekyll_and_Mr._Hyde.jpg
A Connecticut Yankee,1931,,"$1,200,000[7]",,Highest-grossing,images\1931_A_Connecticut_Yankee.jpg
Cimarron,1931,"$1,433,000 [ 2 ]","$1,122,000[8]",,Highest-grossing,images\1931_Cimarron.jpg
Bad Girl,1931,"Under $100,000","$1,100,000[5]",,Highest-grossing,images\1931_Bad_Girl.jpg
The Sign of the Cross,1932,"$694,065 [ 1 ]","$2,738,993[1]",,Highest-grossing,images\1932_The_Sign_of_the_Cross.jpg
The Kid from Spain,1932,,"$2,621,000[2]",,Highest-grossing,images\1932_The_Kid_from_Spain.jpg
Emma,1932,"$350,000 [ 1 ]","$1,409,000[3]",,Highest-grossing,images\1932_Emma.jpg
Hell Divers,1932,"$821,000 [ 2 ]","$1,244,000[3]",,Highest-grossing,images\1932_Hell_Divers.jpg
Grand Hotel,1932,"$750,000 [ 1 ]","$1,235,000[3]",,Highest-grossing,images\1932_Grand_Hotel.jpg
Prosperity,1932,"$628,000 [ 2 ]","$1,166,000[3]",,Highest-grossing,images\1932_Prosperity.jpg
Tarzan the Ape Man,1932,"$652,675","$1,112,000[3]",,Highest-grossing,images\1932_Tarzan_the_Ape_Man.jpg
Smilin' Through,1932,"$851,000 [ 1 ]","$1,004,000[3]",,Highest-grossing,images\1932_Smilin'_Through.jpg
Strange Interlude,1932,"$654,000 [ 1 ]","$957,000[3]",,Highest-grossing,images\1932_Strange_Interlude.jpg
Horse Feathers,1932,"$647,000 [ 1 ]","$945,000[4]",,Highest-grossing,images\1932_Horse_Feathers.jpg
Roman Scandals,1933,"US$1,000,000 (est.)","$2,443,000[1]",,Highest-grossing,images\1933_Roman_Scandals.jpg
I'm No Angel,1933,"$225,000 (estimated) [ 2 ]","$2,250,000[1]",,Highest-grossing,images\1933_I'm_No_Angel.jpg
Gold Diggers of 1933,1933,"$433,000 [ 2 ] [ 3 ] [ 4 ]","$2,202,000[2]",,Highest-grossing,images\1933_Gold_Diggers_of_1933.jpg
She Done Him Wrong,1933,"$200,000 [ 1 ]","$2,200,000[3]",,Highest-grossing,images\1933_She_Done_Him_Wrong.jpg
The Bowery,1933,,"$2,000,000[4]",,Highest-grossing,images\1933_The_Bowery.jpg
Tugboat Annie,1933,"$614,000 [ 1 ]","$1,917,000[5]",,Highest-grossing,images\1933_Tugboat_Annie.jpg
Footlight Parade,1933,"$703,000 (est.) [ 4 ] [ 5 ]","$1,601,000[2]",,Highest-grossing,images\1933_Footlight_Parade.jpg
Dancing Lady,1933,"$923,000 [ 1 ]","$1,490,000[5]",,Highest-grossing,images\1933_Dancing_Lady.jpg
42nd Street,1933,"$439,000 [ 2 ] [ 3 ]","$1,438,000[2]",,Highest-grossing,images\1933_42nd_Street.jpg
Dinner at Eight,1933,"$435,000 [ 1 ] [ 2 ]","$1,398,000[5]",,Highest-grossing,images\1933_Dinner_at_Eight.jpg
Kid Millions,1934,,"$2,000,000[1]",,Highest-grossing,images\1934_Kid_Millions.jpg
Cleopatra,1934,"$842,908 [ 2 ]","$1,929,161[2]",,Highest-grossing,images\1934_Cleopatra.jpg
Forsaking All Others,1934,"$392,000 [ 1 ]","$1,399,000[3]",,Highest-grossing,images\1934_Forsaking_All_Others.jpg
It Happened One Night,1934,"$325,000 [ 2 ]","$1,366,000[4]",,Highest-grossing,images\1934_It_Happened_One_Night.jpg
Chained,1934,"$544,000 [ 1 ]","$1,301,000[3]",,Highest-grossing,images\1934_Chained.jpg
Wonder Bar,1934,"$675,000 (est.) [ 1 ]","$1,264,000[5]",,Highest-grossing,images\1934_Wonder_Bar.jpg
The Barretts of Wimpole Street,1934,"$820,000 [ 1 ] [ 2 ] [ 3 ]","$1,258,000[3]",,Highest-grossing,images\1934_The_Barretts_of_Wimpole_Street.jpg
Here Comes the Navy,1934,"$263,000 [ 1 ]","$1,183,000[5]",,Highest-grossing,images\1934_Here_Comes_the_Navy.jpg
Judge Priest,1934,,"$1,176,000[4]",,Highest-grossing,images\1934_Judge_Priest.jpg
Treasure Island,1934,"$825,000 [ 1 ]","$1,164,000[3]",,Highest-grossing,images\1934_Treasure_Island.jpg
Mutiny on the Bounty,1935,"$1,950,000 [ 1 ]","$2,250,000[1][2]",,Highest-grossing,images\1935_Mutiny_on_the_Bounty.jpg
Top Hat,1935,"$609,000 [ 3 ]","$1,782,000[3][4]",,Highest-grossing,images\1935_Top_Hat.jpg
China Seas,1935,$1.1 million [ 1 ] [ 2 ],"$1,710,000[1][2]",,Highest-grossing,images\1935_China_Seas.jpg
Broadway Melody of 1936,1935,"$1,062,000 [ 1 ]","$1,655,000[1][2]",,Highest-grossing,images\1935_Broadway_Melody_of_1936.jpg
David Copperfield,1935,"$1,073,000 [ 2 ] [ 3 ]","$1,621,000[1][2]",,Highest-grossing,images\1935_David_Copperfield.jpg
Steamboat Round the Bend,1935,,"$1,528,000[5]",,Highest-grossing,images\1935_Steamboat_Round_the_Bend.jpg
The Crusades,1935,$1.4 million [ 2 ],"$1,491,471[6]",,Highest-grossing,images\1935_The_Crusades.jpg
Roberta,1935,"$610,000 [ 2 ] ( Cost: ~$750,000) [ 1 ]","$1,467,000[3][4]",,Highest-grossing,images\1935_Roberta.jpg
In Old Kentucky,1935,,"$1,438,000[5]",,Highest-grossing,images\1935_In_Old_Kentucky.jpg
The Littlest Rebel,1935,,"$1,431,000[5]",,Highest-grossing,images\1935_The_Littlest_Rebel.jpg
The Great Ziegfeld,1936,$2.183 million [ 2 ],"$3,089,000[2]",,Highest-grossing,images\1936_The_Great_Ziegfeld.jpg
San Francisco,1936,$1.3 million [ 1 ] [ 2 ],"$2,868,000[3]",,Highest-grossing,images\1936_San_Francisco.jpg
The Plainsman,1936,"$974,084 [ 1 ]","$2,278,533[4]",,Highest-grossing,images\1936_The_Plainsman.jpg
After the Thin Man,1936,"$673,000 (est.) [ 1 ]","$1,992,000[2]",,Highest-grossing,images\1936_After_the_Thin_Man.jpg
Modern Times,1936,$1.5 million [ 1 ],"$1,800,000[5]",,Highest-grossing,images\1936_Modern_Times.jpg
Anthony Adverse,1936,"$1,192,000 [ 2 ]","$1,783,000[6]",,Highest-grossing,images\1936_Anthony_Adverse.jpg
Strike Me Pink,1936,,"$1,700,000[5]",,Highest-grossing,images\1936_Strike_Me_Pink.jpg
Rose Marie,1936,"$875,000 [ 1 ]","$1,695,000[2]",,Highest-grossing,images\1936_Rose_Marie.jpg
Swing Time,1936,"$886,000 [ 3 ]","$1,624,000[7]",,Highest-grossing,images\1936_Swing_Time.jpg
Libeled Lady,1936,"$603,000 [ 1 ]","$1,601,000[2]",,Highest-grossing,images\1936_Libeled_Lady.jpg
Saratoga,1937,$1.1 million [ 1 ],"$2,432,000[2]",,Highest-grossing,images\1937_Saratoga.jpg
Maytime,1937,"$2,126,000 [ 1 ]","$2,183,000[2]",,Highest-grossing,images\1937_Maytime.jpg
The Good Earth,1937,"$2,816,000 [ 2 ]","$2,002,000[2]",,Highest-grossing,images\1937_The_Good_Earth.jpg
Stella Dallas,1937,,"$2,000,000[3][4]",,Highest-grossing,images\1937_Stella_Dallas.jpg
Rosalie,1937,"$2,096,000 [ 2 ] [ 3 ]","$1,946,000[2]",,Highest-grossing,images\1937_Rosalie.jpg
Broadway Melody of 1938,1937,"$1,588,000 [ 1 ]","$1,889,000[2]",,Highest-grossing,images\1937_Broadway_Melody_of_1938.jpg
Captains Courageous,1937,$1.6 million [ 2 ],"$1,688,000[2]",,Highest-grossing,images\1937_Captains_Courageous.jpg
Lost Horizon,1937,$2 million [ 2 ],"$1,683,000[5]",,Highest-grossing,images\1937_Lost_Horizon.jpg
A Day at the Races,1937,"$2,016,000 [ 1 ]","$1,602,000[2]",,Highest-grossing,images\1937_A_Day_at_the_Races.jpg
Thin Ice,1937,,"$1,590,000[6]",,Highest-grossing,images\1937_Thin_Ice.jpg
Snow White and the Seven Dwarfs,1938,$1.5 million [ 1 ],"$3,996,000[1][2]",,Highest-grossing,images\1938_Snow_White_and_the_Seven_Dwarfs.jpg
Boys Town,1938,"$772,000 [ 1 ]","$2,828,000[3]",,Highest-grossing,images\1938_Boys_Town.jpg
Alexander's Ragtime Band,1938,"$1,200,000 [ 1 ] –$2,275,000 [ 2 ] [ 3 ]","$2,630,000[4]",,Highest-grossing,images\1938_Alexander's_Ragtime_Band.jpg
Test Pilot,1938,$1.7 million [ 2 ],"$2,431,000[3]",,Highest-grossing,images\1938_Test_Pilot.jpg
You Can't Take It with You,1938,"US$1,644,736 (est.) [ 3 ]","$2,182,000[4]",,Highest-grossing,images\1938_You_Can't_Take_It_with_You.jpg
Sweethearts,1938,$1.9 million [ 4 ],"$2,017,000[5]",,Highest-grossing,images\1938_Sweethearts.jpg
In Old Chicago,1938,over $1 million [ 1 ],"$1,964,000[4]",,Highest-grossing,images\1938_In_Old_Chicago.jpg
The Adventures of Robin Hood,1938,"$2,033,000 [ 2 ] [ 3 ]","$1,928,000[6]",,Highest-grossing,images\1938_The_Adventures_of_Robin_Hood.jpg
Love Finds Andy Hardy,1938,"$212,000 [ 1 ] [ 2 ]","$1,637,000[3]",,Highest-grossing,images\1938_Love_Finds_Andy_Hardy.jpg
Marie Antoinette,1938,"$2,926,000 [ 1 ] [ 2 ]","$1,633,000[3]",,Highest-grossing,images\1938_Marie_Antoinette.jpg
Gone with the Wind,1939,$3.85 million,"$20,000,000[3]",,Highest-grossing,images\1939_Gone_with_the_Wind.jpg
Mr. Smith Goes to Washington,1939,$1.5 million,"$3,500,000[4]",,Highest-grossing,images\1939_Mr._Smith_Goes_to_Washington.jpg
Jesse James,1939,$1.6 million,"$2,335,000[5]",,Highest-grossing,images\1939_Jesse_James.jpg
Babes in Arms,1939,"$745,341 [ 2 ] [ 3 ]","$2,311,000[6]",,Highest-grossing,images\1939_Babes_in_Arms.jpg
